2021-09-03 04:12:00+00;23;18411AMK-03;10;20.13;3.97;48.3;3.92;4.01;-1.86;756.9;46;8.14;23.6249;17.4802;0.000118473;344.35
2021-09-05 05:51:00+00;23;18411AMK-03;10;19.19;3.38;112;1.6;5.93;0.22;756.55;35.64;3.61;22.2866;16.543;0.000118879;343.6
2021-09-05 05:56:00+00;23;18411AMK-03;10;19.23;3.4;85.7;1.33;6.1;0.19;756.56;35.11;3.44;22.3422;16.582;0.000118861;343.62
2021-09-05 09:02:00+00;23;18411AMK-03;10;22.19;3.93;102.1;1.81;6.26;0.27;755.36;29.16;3.38;26.8065;19.696;0.000117215;345.37
2021-09-05 12:09:00+00;23;18411AMK-03;10;20.07;1.84;116.2;1.32;2.63;0.2;754.47;42.42;6.9;23.5372;17.4189;0.000118117;344.26
2021-09-05 15:16:00+00;23;18411AMK-03;10;14.7;1.17;123.8;0.1;2.16;0.04;754.18;71.67;9.64;16.7696;12.642;0.000120687;341.19
2021-09-05 18:22:00+00;23;18411AMK-03;10;12.27;0.72;108.2;0.13;2.15;-0.01;753.16;78.42;8.63;14.3173;10.8852;0.0001217;339.7
2021-09-05 21:29:00+00;23;18411AMK-03;10;9.74;0.68;87.1;0.4;1.14;-0.01;752.29;91.61;8.44;12.1053;9.28573;0.000122783;338.18
2021-09-06 00:35:00+00;23;18411AMK-03;10;8.6;1.64;101.2;1.3;2.31;0.01;752.08;86.03;6.4;11.2112;8.63472;0.0001233;337.42
2021-09-06 03:42:00+00;23;18411AMK-03;10;15.92;1.9;82.9;0.79;3.18;0.12;752.34;43.49;3.51;18.1344;13.6132;0.000119799;341.67
2021-09-06 06:48:00+00;23;18411AMK-03;10;22.61;1.24;110;0.43;2.13;0.28;752.36;36.98;7.17;27.499;20.1761;0.000116536;345.78
2021-09-06 09:55:00+00;23;18411AMK-03;10;23.54;2.21;308.8;1.43;2.78;0.14;752.97;40.51;9.33;29.0895;21.2761;0.000116172;346.43
2021-09-06 13:01:00+00;23;18411AMK-03;10;19.65;1.67;300.4;0.9;2.38;0.01;754.6;66.67;13.27;22.9328;16.9959;0.000118344;344.34
2021-09-06 16:08:00+00;23;18411AMK-03;10;12.16;0.25;178.9;0.23;0.27;-0.12;756.05;100;12.16;14.2144;10.8111;0.000122223;339.81
2021-09-06 19:14:00+00;23;18411AMK-03;10;10.72;0.5;151.9;0.42;0.56;-0.09;757.11;100;10.72;12.9237;9.87934;0.000123097;338.87
2021-09-06 22:21:00+00;23;18411AMK-03;10;8.4;0.57;92.4;0.41;0.69;-0;758.21;100;8.4;11.0608;8.52494;0.000124409;337.37
2021-09-07 01:27:00+00;23;18411AMK-03;10;9.74;1.19;336.9;0.87;1.59;0.19;758.3;69.83;4.5;12.1056;9.28597;0.000123769;338.02
2021-09-07 04:34:00+00;23;18411AMK-03;10;17.13;1.2;297.5;0.72;1.88;-0.01;758.29;38.89;3.02;19.5843;14.6403;0.000120164;342.36
2021-09-07 07:40:00+00;23;18411AMK-03;10;19.31;1.2;149.1;0.82;1.47;-0.01;756.86;28.42;0.54;22.4537;16.6602;0.000118869;343.58
2021-09-07 10:47:00+00;23;18411AMK-03;10;19.38;1.64;32.3;0.93;2.07;0.08;755.81;31.46;2.02;22.5515;16.7288;0.000118668;343.67
2021-09-07 13:53:00+00;23;18411AMK-03;10;12.87;0.24;211.9;0.17;0.38;-0.09;754.46;93.13;11.78;14.8915;11.298;0.00012162;340.21
2021-09-07 17:00:00+00;23;18411AMK-03;10;9.98;0.79;340.4;0.65;1.08;0.08;754.25;100;9.98;12.3014;9.42818;0.000122988;338.39
2021-09-07 20:07:00+00;23;18411AMK-03;10;9.62;0.22;132.9;0.19;0.29;-0.07;752.29;100;9.62;12.0083;9.21525;0.000122841;338.16
2021-09-07 23:13:00+00;23;18411AMK-03;10;6.59;0.09;286.2;0.03;0.14;-0.02;752.34;100;6.59;9.77601;7.58345;0.00012432;336.22
2021-09-08 02:20:00+00;23;18411AMK-03;10;12.59;0.8;221.9;0.56;1.02;0.26;751.36;47.09;1.6;14.6209;11.1036;0.000121252;339.63
2021-09-08 05:26:00+00;23;18411AMK-03;10;18.57;2.18;186.5;0.84;2.94;0.33;750.42;34.29;2.52;21.4402;15.9486;0.000118206;343.2
2021-09-08 08:33:00+00;23;18411AMK-03;10;18.4;1.99;190.4;1.27;2.67;0.2;748.33;45.97;6.56;21.2131;15.7888;0.000117956;343.26
2021-09-08 11:39:00+00;23;18411AMK-03;10;17.41;1.1;82.6;0.7;1.78;0.18;746.46;63.64;10.44;19.9328;14.8865;0.000118136;342.85
2021-09-08 14:46:00+00;23;18411AMK-03;10;12.75;0.73;148.1;0.26;1.3;-0.17;745.36;100;12.75;14.7745;11.214;0.0001202;340.2
2021-09-08 17:52:00+00;23;18411AMK-03;10;11.91;0.45;88.4;0.27;0.67;-0.03;742.88;100;11.91;13.9817;10.6435;0.000120199;339.66
2021-09-08 20:59:00+00;23;18411AMK-03;10;11.22;0.53;77.7;0.17;0.91;-0.1;740.2;100;11.22;13.3587;10.1939;0.000120091;339.21
2021-09-09 00:05:00+00;23;18411AMK-03;10;10.56;0.4;178.8;0.23;0.55;-0.03;738.51;100;10.56;12.7859;9.77948;0.000120129;338.78
2021-09-09 03:12:00+00;23;18411AMK-03;10;7.37;4.3;270.6;1.14;7.73;-0.25;738.65;100;7.37;10.3118;7.97685;0.000121673;336.73
2021-09-09 06:18:00+00;23;18411AMK-03;10;6.6;4.47;278.9;2.41;7.71;-0.26;742.08;100;6.6;9.7823;7.58806;0.000122611;336.24
2021-09-09 09:25:00+00;23;18411AMK-03;10;8.16;3.69;253.5;0.73;6.59;-0.11;744.85;90.08;6.63;10.8817;8.39406;0.00012232;337.16
2021-09-09 12:31:00+00;23;18411AMK-03;10;8.69;3.23;277.8;1.03;4.98;-0.11;746.26;95.02;7.94;11.2793;8.68441;0.000122298;337.54
2021-09-09 15:38:00+00;23;18411AMK-03;10;6.12;0.43;152.4;0.37;0.49;-0.1;746.76;100;6.12;9.46459;7.35423;0.00012362;335.92
2021-09-09 18:44:00+00;23;18411AMK-03;10;6.29;1.67;185.3;0.51;2.78;-0.12;746.46;100;6.29;9.57611;7.43636;0.000123488;336.03
2021-09-09 21:51:00+00;23;18411AMK-03;10;5.24;1.3;209.8;0.6;2.16;-0.25;747.39;100;5.24;8.90543;6.94163;0.000124152;335.36
2021-09-10 00:57:00+00;23;18411AMK-03;10;4.1;2.17;181.1;1.23;3.34;-0.07;747.85;95.69;3.48;8.22458;6.43727;0.000124782;334.62
2021-09-10 04:04:00+00;23;18411AMK-03;10;8.22;1.69;150.8;0.74;2.33;-0.05;748.33;66.08;2.27;10.9263;8.42662;0.000122866;337.04
2021-09-10 07:11:00+00;23;18411AMK-03;10;10.76;2.77;168.1;0.92;3.9;-0.2;748.08;67.64;5.02;12.9576;9.90387;0.0001216;338.65
2021-09-10 10:17:00+00;23;18411AMK-03;10;13.23;2.82;151.4;0.35;4.95;0.04;747.34;69.01;7.67;15.2451;11.5518;0.000120291;340.23
2021-09-10 13:24:00+00;23;18411AMK-03;10;12.01;0.93;112.3;0.52;1.49;-0.05;746.37;82.3;9.08;14.0743;10.7102;0.000120719;339.57
2021-09-10 16:30:00+00;23;18411AMK-03;10;9.92;2.9;149.4;1.48;4.19;0.15;745.45;99.65;9.87;12.2517;9.39206;0.000121573;338.36
2021-09-10 19:37:00+00;23;18411AMK-03;10;9.63;1.53;129.4;0.99;2.26;0.03;744.01;97.24;9.21;12.0159;9.22077;0.000121476;338.16
2021-09-10 22:43:00+00;23;18411AMK-03;10;9.75;2.5;120.4;1.19;4.33;0.32;742.45;100;9.75;12.1129;9.29123;0.000121162;338.26
2021-09-11 01:50:00+00;23;18411AMK-03;10;10.31;1.91;137;0.75;3.5;0.35;740.88;100;10.31;12.5748;9.62651;0.000120637;338.62
2021-09-11 04:56:00+00;23;18411AMK-03;10;12.01;1.11;221.1;0.42;1.9;0.15;740.9;100;12.01;14.0739;10.7099;0.000119828;339.73
2021-09-11 08:03:00+00;23;18411AMK-03;10;13.09;1.4;210.4;0.54;2.34;-0.27;741.28;81.59;10.01;15.1062;11.4521;0.000119375;340.26
2021-09-11 11:09:00+00;23;18411AMK-03;10;13.35;2.48;190.7;0.43;5.37;-0.27;742.42;60.97;5.97;15.3645;11.6373;0.000119435;340.23
2021-09-11 14:16:00+00;23;18411AMK-03;10;8.65;0.32;238.5;0.13;0.58;-0;742.47;99.51;8.57;11.2487;8.66206;0.000121692;337.54
2021-09-11 17:22:00+00;23;18411AMK-03;10;8.04;0.64;138.7;0.16;1.43;-0.14;741.59;100;8.04;10.7933;8.3294;0.000121839;337.16
2021-09-11 20:29:00+00;23;18411AMK-03;10;7.67;0.81;131.6;0.24;1.51;0.01;740.99;100;7.67;10.5251;8.1331;0.000121917;336.92
2021-09-11 23:35:00+00;23;18411AMK-03;10;7.45;1.27;217.9;0.85;1.72;-0.34;740.9;100;7.45;10.3684;8.01832;0.000122008;336.78
2021-09-12 02:42:00+00;23;18411AMK-03;10;8.21;2.43;213.2;1.23;4.32;-0.59;741.02;88.38;6.4;10.9185;8.42094;0.000121664;337.19
